Codebook vartype=0 if continuous; 1 if categorical and 2 if ordinal,,,,,,,yellow=vars that have no relationship with re-education (weights etc.)
,storage,display,value,,,,red=vars to do with current studying 
ahgage19,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 19,0,,
ahgage20,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001 - person 20,0,,
ahgsex1,byte,%30.0g,ASEX,HF3 Sex - 0001,1,,
ahgsex2,byte,%30.0g,ASEX,HF3 Sex - 0002,1,,
ahgsex3,byte,%30.0g,ASEX,HF3 Sex - 0003,1,,
ahgsex4,byte,%30.0g,ASEX,HF3 Sex - 0004,1,,
ahgsex5,byte,%30.0g,ASEX,HF3 Sex - 0005,1,,
ahgsex6,byte,%30.0g,ASEX,HF3 Sex - 0006,1,,
ahgsex7,byte,%30.0g,ASEX,HF3 Sex - 0007,1,,
ahgsex8,byte,%30.0g,ASEX,HF3 Sex - 0008,1,,
ahgsex9,byte,%30.0g,ASEX,HF3 Sex - 0009,1,,
ahgsex10,byte,%30.0g,ASEX,HF3 Sex - 0010,1,,
ahgsex11,byte,%30.0g,ASEX,HF3 Sex - 0011,1,,
ahgsex12,byte,%30.0g,ASEX,HF3 Sex - 0012,1,,
ahgsex13,byte,%30.0g,ASEX,HF3 Sex - 0013,1,,
ahgsex14,byte,%30.0g,ASEX,HF3 Sex - 0014,1,,
ahgsex15,byte,%30.0g,ASEX,HF3 Sex - 0015,1,,
ahgsex16,byte,%30.0g,ASEX,HF3 Sex - 0016,1,,
ahgsex17,byte,%30.0g,ASEX,HF3 Sex - 0017,1,,
ahgsex18,byte,%30.0g,ASEX,HF3 Sex - 0018,1,,
ahgsex19,byte,%30.0g,ASEX,HF3 Sex - 0019,1,,
ahgsex20,byte,%30.0g,ASEX,HF3 Sex - 0020,1,,
ahgfpt1,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0001,1,,
ahgfpt2,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0002,1,,
ahgfpt3,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0003,1,,
ahgfpt4,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0004,1,,
ahgfpt5,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0005,1,,
ahgfpt6,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0006,1,,
ahgfpt7,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0007,1,,
ahgfpt8,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0008,1,,
ahgfpt9,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0009,1,,
ahgfpt10,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0010,1,,
ahgfpt11,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0011,1,,
ahgfpt12,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0012,1,,
ahgfpt13,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0013,1,,
ahgfpt14,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0014,1,,
ahgfpt15,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0015,1,,
ahgfpt16,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0016,1,,
ahgfpt17,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0017,1,,
ahgfpt18,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0018,1,,
ahgfpt19,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0019,1,,
ahgfpt20,byte,%64.0g,AHGFPT,HF5a Lives here full or part time - 0020,1,,
ahgtih1,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0001,2,,
ahgtih2,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0002,2,,
ahgtih3,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0003,2,,
ahgtih4,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0004,2,,
ahgtih5,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0005,2,,
ahgtih6,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0006,2,,
ahgtih7,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0007,2,,
ahgtih8,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0008,2,,
ahgtih9,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0009,2,,
ahgtih10,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0010,2,,
ahgtih11,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0011,2,,
ahgtih12,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0012,2,,
ahgtih13,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0013,2,,
ahgtih14,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0014,2,,
ahgtih15,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0015,2,,
ahgtih16,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0016,2,,
ahgtih17,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0017,2,,
ahgtih18,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0018,2,,
ahgtih19,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0019,2,,
ahgtih20,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here - 0020,2,,
ahgeng1,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0001,1,,
ahgeng2,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0002,1,,
ahgeng3,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0003,1,,
ahgeng4,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0004,1,,
ahgeng5,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0005,1,,
ahgeng6,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0006,1,,
ahgeng7,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0007,1,,
ahgeng8,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0008,1,,
ahgeng9,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0009,1,,
ahgeng10,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0010,1,,
ahgeng11,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0011,1,,
ahgeng12,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0012,1,,
ahgeng13,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0013,1,,
ahgeng14,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0014,1,,
ahgeng15,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0015,1,,
ahgeng16,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0016,1,,
ahgeng17,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0017,1,,
ahgeng18,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0018,1,,
ahgeng19,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0019,1,,
ahgeng20,byte,%51.0g,AHGENG,HF6a Is English the only language ... speaks - 0020,1,,
ahgeab1,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0001,2,,
ahgeab2,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0002,2,,
ahgeab3,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0003,2,,
ahgeab4,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0004,2,,
ahgeab5,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0005,2,,
ahgeab6,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0006,2,,
ahgeab7,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0007,2,,
ahgeab8,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0008,2,,
ahgeab9,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0009,2,,
ahgeab10,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0010,2,,
ahgeab11,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0011,2,,
ahgeab12,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0012,2,,
ahgeab13,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0013,2,,
ahgeab14,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0014,2,,
ahgeab15,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0015,2,,
ahgeab16,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0016,2,,
ahgeab17,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0017,2,,
ahgeab18,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0018,2,,
ahgeab19,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0019,2,,
ahgeab20,byte,%30.0g,AANEAB,HF6b How well ... speaks English - 0020,2,,
ahglth1,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth2,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth3,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth4,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth5,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth6,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth7,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth8,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth9,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth10,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth11,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth12,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth13,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth14,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth15,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth16,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth17,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth18,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth19,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahglth20,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahgms1,byte,%64.0g,AHGMS,HF8 Living circumstances - 0001,1,,
ahgms2,byte,%64.0g,AHGMS,HF8 Living circumstances - 0002,1,,
ahgms3,byte,%64.0g,AHGMS,HF8 Living circumstances - 0003,1,,
ahgms4,byte,%64.0g,AHGMS,HF8 Living circumstances - 0004,1,,
ahgms5,byte,%64.0g,AHGMS,HF8 Living circumstances - 0005,1,,
ahgms6,byte,%64.0g,AHGMS,HF8 Living circumstances - 0006,1,,
ahgms7,byte,%64.0g,AHGMS,HF8 Living circumstances - 0007,1,,
ahgms8,byte,%64.0g,AHGMS,HF8 Living circumstances - 0008,1,,
ahgms9,byte,%64.0g,AHGMS,HF8 Living circumstances - 0009,1,,
ahgms10,byte,%64.0g,AHGMS,HF8 Living circumstances - 0010,1,,
ahgms11,byte,%64.0g,AHGMS,HF8 Living circumstances - 0011,1,,
ahgms12,byte,%64.0g,AHGMS,HF8 Living circumstances - 0012,1,,
ahgms13,byte,%64.0g,AHGMS,HF8 Living circumstances - 0013,1,,
ahgms14,byte,%64.0g,AHGMS,HF8 Living circumstances - 0014,1,,
ahgms15,byte,%64.0g,AHGMS,HF8 Living circumstances - 0015,1,,
ahgms16,byte,%64.0g,AHGMS,HF8 Living circumstances - 0016,1,,
ahgms17,byte,%64.0g,AHGMS,HF8 Living circumstances - 0017,1,,
ahgms18,byte,%64.0g,AHGMS,HF8 Living circumstances - 0018,1,,
ahgms19,byte,%64.0g,AHGMS,HF8 Living circumstances - 0019,1,,
ahgms20,byte,%64.0g,AHGMS,HF8 Living circumstances - 0020,1,,
ahges1,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges2,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges3,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges4,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges5,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges6,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges7,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges8,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges9,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges10,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges11,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges12,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges13,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges14,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges15,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges16,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges17,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges18,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges19,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahges20,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household - 0",1,,
ahgivw1,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0001,1,0,
ahgivw2,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0002,1,0,
ahgivw3,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0003,1,0,
ahgivw4,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0004,1,0,
ahgivw5,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0005,1,0,
ahgivw6,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0006,1,0,
ahgivw7,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0007,1,0,
ahgivw8,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0008,1,0,
ahgivw9,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0009,1,0,
ahgivw10,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0010,1,0,
ahgivw11,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0011,1,0,
ahgivw12,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0012,1,0,
ahgivw13,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0013,1,0,
ahgivw14,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0014,1,0,
ahgivw15,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0015,1,0,
ahgivw16,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0016,1,0,
ahgivw17,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0017,1,0,
ahgivw18,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0018,1,0,
ahgivw19,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0019,1,0,
ahgivw20,byte,%57.0g,AHGIVW,HF10 Final Individual interview outcome - 0020,1,0,
arg02_01,byte,%50.0g,ARG,Person 02 is the (relationship) of person 01,1,,
arg03_01,byte,%50.0g,ARG,Person 03 is the (relationship) of person 01,1,,
arg04_01,byte,%50.0g,ARG,Person 04 is the (relationship) of person 01,1,,
arg05_01,byte,%50.0g,ARG,Person 05 is the (relationship) of person 01,1,,
arg06_01,byte,%50.0g,ARG,Person 06 is the (relationship) of person 01,1,,
arg07_01,byte,%50.0g,ARG,Person 07 is the (relationship) of person 01,1,,
arg08_01,byte,%50.0g,ARG,Person 08 is the (relationship) of person 01,1,,
arg09_01,byte,%50.0g,ARG,Person 09 is the (relationship) of person 01,1,,
arg10_01,byte,%50.0g,ARG,Person 10 is the (relationship) of person 01,1,,
arg11_01,byte,%50.0g,ARG,Person 11 is the (relationship) of person 01,1,,
arg12_01,byte,%50.0g,ARG,Person 12 is the (relationship) of person 01,1,,
arg03_02,byte,%50.0g,ARG,Person 03 is the (relationship) of person 02,1,,
arg04_02,byte,%50.0g,ARG,Person 04 is the (relationship) of person 02,1,,
arg05_02,byte,%50.0g,ARG,Person 05 is the (relationship) of person 02,1,,
arg06_02,byte,%50.0g,ARG,Person 06 is the (relationship) of person 02,1,,
arg07_02,byte,%50.0g,ARG,Person 07 is the (relationship) of person 02,1,,
arg08_02,byte,%50.0g,ARG,Person 08 is the (relationship) of person 02,1,,
arg09_02,byte,%50.0g,ARG,Person 09 is the (relationship) of person 02,1,,
arg10_02,byte,%50.0g,ARG,Person 10 is the (relationship) of person 02,1,,
arg11_02,byte,%50.0g,ARG,Person 11 is the (relationship) of person 02,1,,
arg12_02,byte,%50.0g,ARG,Person 12 is the (relationship) of person 02,1,,
arg04_03,byte,%50.0g,ARG,Person 04 is the (relationship) of person 03,1,,
arg05_03,byte,%50.0g,ARG,Person 05 is the (relationship) of person 03,1,,
arg06_03,byte,%50.0g,ARG,Person 06 is the (relationship) of person 03,1,,
arg07_03,byte,%50.0g,ARG,Person 07 is the (relationship) of person 03,1,,
arg08_03,byte,%50.0g,ARG,Person 08 is the (relationship) of person 03,1,,
arg09_03,byte,%50.0g,ARG,Person 09 is the (relationship) of person 03,1,,
arg10_03,byte,%50.0g,ARG,Person 10 is the (relationship) of person 03,1,,
arg11_03,byte,%50.0g,ARG,Person 11 is the (relationship) of person 03,1,,
arg12_03,byte,%50.0g,ARG,Person 12 is the (relationship) of person 03,1,,
arg05_04,byte,%50.0g,ARG,Person 05 is the (relationship) of person 04,1,,
arg06_04,byte,%50.0g,ARG,Person 06 is the (relationship) of person 04,1,,
arg07_04,byte,%50.0g,ARG,Person 07 is the (relationship) of person 04,1,,
arg08_04,byte,%50.0g,ARG,Person 08 is the (relationship) of person 04,1,,
arg09_04,byte,%50.0g,ARG,Person 09 is the (relationship) of person 04,1,,
arg10_04,byte,%50.0g,ARG,Person 10 is the (relationship) of person 04,1,,
arg11_04,byte,%50.0g,ARG,Person 11 is the (relationship) of person 04,1,,
arg12_04,byte,%50.0g,ARG,Person 12 is the (relationship) of person 04,1,,
arg06_05,byte,%50.0g,ARG,Person 06 is the (relationship) of person 05,1,,
arg07_05,byte,%50.0g,ARG,Person 07 is the (relationship) of person 05,1,,
arg08_05,byte,%50.0g,ARG,Person 08 is the (relationship) of person 05,1,,
arg09_05,byte,%50.0g,ARG,Person 09 is the (relationship) of person 05,1,,
arg10_05,byte,%50.0g,ARG,Person 10 is the (relationship) of person 05,1,,
arg11_05,byte,%50.0g,ARG,Person 11 is the (relationship) of person 05,1,,
arg12_05,byte,%50.0g,ARG,Person 12 is the (relationship) of person 05,1,,
arg07_06,byte,%50.0g,ARG,Person 07 is the (relationship) of person 06,1,,
arg08_06,byte,%50.0g,ARG,Person 08 is the (relationship) of person 06,1,,
arg09_06,byte,%50.0g,ARG,Person 09 is the (relationship) of person 06,1,,
arg10_06,byte,%50.0g,ARG,Person 10 is the (relationship) of person 06,1,,
arg11_06,byte,%50.0g,ARG,Person 11 is the (relationship) of person 06,1,,
arg12_06,byte,%50.0g,ARG,Person 12 is the (relationship) of person 06,1,,
arg08_07,byte,%50.0g,ARG,Person 08 is the (relationship) of person 07,1,,
arg09_07,byte,%50.0g,ARG,Person 09 is the (relationship) of person 07,1,,
arg10_07,byte,%50.0g,ARG,Person 10 is the (relationship) of person 07,1,,
arg11_07,byte,%50.0g,ARG,Person 11 is the (relationship) of person 07,1,,
arg12_07,byte,%50.0g,ARG,Person 12 is the (relationship) of person 07,1,,
arg09_08,byte,%50.0g,ARG,Person 09 is the (relationship) of person 08,1,,
arg10_08,byte,%50.0g,ARG,Person 10 is the (relationship) of person 08,1,,
arg11_08,byte,%50.0g,ARG,Person 11 is the (relationship) of person 08,1,,
arg12_08,byte,%50.0g,ARG,Person 12 is the (relationship) of person 08,1,,
arg10_09,byte,%50.0g,ARG,Person 10 is the (relationship) of person 09,1,,
arg11_09,byte,%50.0g,ARG,Person 11 is the (relationship) of person 09,1,,
arg12_09,byte,%50.0g,ARG,Person 12 is the (relationship) of person 09,1,,
arg11_10,byte,%50.0g,ARG,Person 11 is the (relationship) of person 10,1,,
arg12_10,byte,%50.0g,ARG,Person 12 is the (relationship) of person 10,1,,
arg12_11,byte,%50.0g,ARG,Person 12 is the (relationship) of person 11,1,,
arg13_01,byte,%50.0g,ARG,Person 13 is the (relationship) of person 01,1,,
arg13_02,byte,%50.0g,ARG,Person 13 is the (relationship) of person 02,1,,
arg13_03,byte,%50.0g,ARG,Person 13 is the (relationship) of person 03,1,,
arg13_04,byte,%50.0g,ARG,Person 13 is the (relationship) of person 04,1,,
arg13_05,byte,%50.0g,ARG,Person 13 is the (relationship) of person 05,1,,
arg13_06,byte,%50.0g,ARG,Person 13 is the (relationship) of person 06,1,,
arg13_07,byte,%50.0g,ARG,Person 13 is the (relationship) of person 07,1,,
arg13_08,byte,%50.0g,ARG,Person 13 is the (relationship) of person 08,1,,
arg13_09,byte,%50.0g,ARG,Person 13 is the (relationship) of person 09,1,,
arg13_10,byte,%50.0g,ARG,Person 13 is the (relationship) of person 10,1,,
arg13_11,byte,%50.0g,ARG,Person 13 is the (relationship) of person 11,1,,
arg13_12,byte,%50.0g,ARG,Person 13 is the (relationship) of person 12,1,,
arg14_01,byte,%50.0g,ARG,Person 14 is the (relationship) of person 01,1,,
arg14_02,byte,%50.0g,ARG,Person 14 is the (relationship) of person 02,1,,
arg14_03,byte,%50.0g,ARG,Person 14 is the (relationship) of person 03,1,,
arg14_04,byte,%50.0g,ARG,Person 14 is the (relationship) of person 04,1,,
arg14_05,byte,%50.0g,ARG,Person 14 is the (relationship) of person 05,1,,
arg14_06,byte,%50.0g,ARG,Person 14 is the (relationship) of person 06,1,,
arg14_07,byte,%50.0g,ARG,Person 14 is the (relationship) of person 07,1,,
arg14_08,byte,%50.0g,ARG,Person 14 is the (relationship) of person 08,1,,
arg14_09,byte,%50.0g,ARG,Person 14 is the (relationship) of person 09,1,,
